First,Last,Emp ID,DOB,Masked SSN,States
John,Mathews,232,02/24/1991,xxxxx1-9165,ND
Nathan,Moore,533,11/19/1978,xxxxx5-7469,ME
Amanda,Douglas,256,01/08/1990,xxxxx7-6961,ID
Heather,Andrews,189,08/11/1976,xxxxx9-1797,VT
Daniel,Hernandez,284,07/22/1976,xxxxx1-7473,CO
Danny,Pena,512,01/31/1978,xxxxx3-9878,MN
Gary,Knight,126,03/08/1994,xxxxx5-1242,AR
Robin,Carroll,556,10/14/1972,xxxxx8-7194,CA
Michelle,Dickerson,595,02/08/1984,xxxxx4-2817,TN
Kimberly,Gallegos,191,08/05/1972,xxxxx2-7563,OR
Morgan,Parker,55,01/30/1986,xxxxx0-4320,TN
Mason,Rhodes,623,01/28/1977,xxxxx7-4767,MD
Amy,Griffin,426,02/18/1973,xxxxx6-1946,MA
Danielle,House,535,04/16/1975,xxxxx5-9308,ME
Charles,Greene,399,11/28/1992,xxxxx3-2935,KY
Nicholas,Martinez,33,04/05/1979,xxxxx6-1689,LA
Tracey,Meadows,302,01/12/1988,xxxxx2-6175,RI
Renee,Evans,325,03/14/1991,xxxxx2-2708,MT
Joseph,Estrada,188,03/29/1984,xxxxx7-2571,PA
Jeremy,Warner,184,10/20/1987,xxxxx3-1184,AL
Anthony,Rodriguez,526,02/09/1983,xxxxx4-3865,ID
Kristen,Lopez,85,01/02/1978,xxxxx4-8194,VA
Mark,Mcdonald,171,06/27/1984,xxxxx7-0101,MT
Robert,Freeman,74,01/01/1984,xxxxx5-5211,AR
Michael,Reynolds,69,10/30/1994,xxxxx1-8507,CA
Kristine,Little,365,07/10/1974,xxxxx6-1771,SD
April,Barnes,149,02/15/1983,xxxxx7-3288,RI
Pamela,Hodges,218,02/19/1989,xxxxx6-1423,UT
Ronald,Gilbert,647,05/26/1974,xxxxx7-4448,WY
Thomas,Cooper,518,08/17/1972,xxxxx4-9890,CO
Dakota,Harrington,12,08/24/1972,xxxxx5-7188,VA
Jennifer,Porter,622,01/20/1991,xxxxx3-5572,WI
Beverly,Jordan,159,08/15/1986,xxxxx9-3762,NM
Mark,Brown,394,04/02/1975,xxxxx5-8531,CA
Amy,Ford,158,06/05/1974,xxxxx5-6461,NC
Benjamin,King,446,05/07/1973,xxxxx4-8165,RI
Stephen,Bryant,352,05/15/1991,xxxxx3-6488,SD
Brandi,Williams,598,10/15/1989,xxxxx2-8500,MD
Ashley,Hutchinson,505,04/26/1994,xxxxx0-1510,SC
Alisha,Pacheco,173,01/13/1982,xxxxx7-2496,MI
Robert,Campbell,84,02/27/1973,xxxxx2-9581,SD
Sandra,Sanders,406,10/06/1980,xxxxx6-1673,RI
Katherine,Hensley,164,05/29/1991,xxxxx8-7226,CT
Stacy,Cox,267,11/08/1976,xxxxx6-0990,AL
Frank,Barton,503,06/10/1993,xxxxx2-5568,MA
Shannon,Kramer,295,05/04/1980,xxxxx2-7615,SC
Brenda,James,590,12/31/1977,xxxxx6-3251,HI
Paula,Edwards,97,08/10/1988,xxxxx3-0638,KS
Jennifer,Rowe,3,09/16/1980,xxxxx0-9014,NY
David,Foster,20,01/09/1990,xxxxx6-6956,MO
William,Boyle,179,01/30/1988,xxxxx3-0490,AR
Christopher,Greene,86,05/29/1972,xxxxx2-8446,ID
Matthew,Fuller,219,04/27/1980,xxxxx9-2989,MS
Gabriela,Nguyen,237,12/17/1981,xxxxx3-3729,WA
Allison,Diaz,96,03/25/1994,xxxxx2-8927,AR
Isaac,Jordan,22,05/06/1986,xxxxx9-0520,TX
Cheryl,Bailey,439,10/31/1991,xxxxx4-1224,NC
Julie,Castillo,146,02/16/1988,xxxxx1-4523,AK
Michael,Adams,271,12/10/1986,xxxxx9-3927,FL
Melinda,Parsons,103,02/07/1986,xxxxx0-8751,NE
Robert,Campbell,540,01/17/1987,xxxxx9-3694,DE
